Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
London and South East,Other,2012,125.832915579071,4.904092541676258,25.832915579071
London and South East,Other,2013,133.43782341995,6.043655434575248,33.43782341995001
London and South East,Other,2014,133.773374319695,0.25146610694402255,33.773374319694994
London and South East,Other,2015,135.205115121952,1.0702733705702796,35.20511512195199
London and South East,Other,2016,136.284634088634,0.7984305665568202,36.28463408863399
London and South East,Other,2017,136.598016458003,0.2299469573108277,36.598016458003
London and South East,Other,2018,139.412660843966,2.0605309351826158,39.412660843965995
London and South East,Other,2019,139.693904772778,0.20173485471796024,39.69390477277801
London and South East,Other,2020,152.498622180817,9.166267797343599,52.498622180816994
London and South East,Other,2021,153.365397605551,0.5683824629617201,53.36539760555101
London and South East,Other,2022,NA,NA,NA
London and South East,Other,2023,NA,NA,NA
London and South East,Other,2024,NA,NA,NA
London and South East,Other,2025,NA,NA,NA
London and South East,Season,2004,100,NA,0
London and South East,Season,2005,104.702008555942,4.702008555942001,4.702008555942001
London and South East,Season,2006,108.921223047117,4.029735961484139,8.921223047116996
London and South East,Season,2007,114.031449479947,4.691671916518445,14.031449479947
London and South East,Season,2008,120.53178401512,5.700475232769985,20.531784015119996
London and South East,Season,2009,127.985137993756,6.183724931592336,27.985137993756
London and South East,Season,2010,128.013623447664,0.022256845095087605,28.013623447664003
London and South East,Season,2011,137.359391354873,7.30060415095573,37.359391354873
London and South East,Season,2012,145.551340651251,5.963880019833372,45.551340651250996
London and South East,Season,2013,151.594949725631,4.152218074624839,51.59494972563101
London and South East,Season,2014,156.24143997044,3.065069287082849,56.24143997044001
London and South East,Season,2015,160.356176351638,2.633575562268544,60.356176351638
London and South East,Season,2016,161.123107086842,0.4782670381976624,61.123107086842
London and South East,Season,2017,163.490697016601,1.4694291666575858,63.49069701660099
London and South East,Season,2018,168.524263699838,3.0788092381341428,68.524263699838
London and South East,Season,2019,173.11992231598,2.727001154164616,73.11992231598
London and South East,Season,2020,177.963934249535,2.798067298524804,77.96393424953499
London and South East,Season,2021,182.293301696974,2.4327218128188375,82.293301696974
London and South East,Season,2022,188.511347396778,3.4110116180463184,88.511347396778
London and South East,Season,2023,199.34883622047144,5.748984861310618,99.34883622047144
